DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,RABAND,FT
4731515,1,1,1,,1,1522.8676794,76,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731515,1,2,1,,1,1522.8676794,76,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731516,1,1,1,,1,3098.57271,76,2018,10,201810,50,,1,4,2,2,2,2,1,10,,,,,,2,1
4731516,1,2,1,,1,3098.57271,76,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731517,1,1,1,,1,3215.4304666,76,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731517,1,4,1,,1,3215.4304666,76,2018,10,201810,50,,4,6,2,2,2,2,2,,,,,,,,1
4731518,1,1,1,,1,1811.2198566,76,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731518,1,2,1,,1,1811.2198566,76,2018,10,201810,50,,2,5,,,,,,,,,,,,,1
4731522,1,1,1,,1,2603.8540024,76,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731522,1,2,1,,1,2603.8540024,76,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731522,1,3,1,,1,2603.8540024,76,2018,10,201810,50,1,3,2,2,2,2,1,,,,,,,1,,1
4731522,1,4,1,,1,2603.8540024,76,2018,10,201810,50,2,4,4,2,2,2,1,,,,,,,1,,1
4731523,1,1,1,,1,3847.3699537,76,2018,10,201810,50,,1,4,2,2,2,2,1,10,,,,,,2,1
4731523,1,2,1,,1,3847.3699537,76,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731523,1,3,1,,1,3847.3699537,76,2018,10,201810,50,,3,3,2,2,2,2,1,12,,,,,,2,1
4731523,1,4,1,,1,3847.3699537,76,2018,10,201810,50,,4,3,2,2,2,2,1,6,2,,2,,,1,1
4731523,1,5,1,,1,3847.3699537,76,2018,10,201810,50,,1,3,2,2,2,2,2,,,,,,,,1
4731526,1,1,1,,1,3331.7183424,76,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731526,1,2,1,,1,3331.7183424,76,2018,10,201810,50,,2,4,2,2,2,2,1,10,,,,,,2,1
4731527,1,1,1,,1,3619.1400071,76,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731527,1,2,1,,1,3619.1400071,76,2018,10,201810,50,,2,6,2,2,2,2,1,4,1,2,,,,1,1
4731527,1,3,1,,1,3619.1400071,76,2018,10,201810,50,,3,6,2,2,2,2,1,4,1,2,,,,1,1
4731528,1,1,1,,1,2474.8107631,76,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731528,1,2,1,,1,2474.8107631,76,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731529,1,1,1,,1,2757.096074,76,2018,10,201810,50,,1,5,,,,,,,,,,,,,1
4731529,1,2,1,,1,2757.096074,76,2018,10,201810,50,1,2,2,2,2,2,1,,,,,,,1,,1
4731530,1,1,1,,1,3705.1431603,76,2018,10,201810,50,,1,4,2,2,2,2,2,,,,,,,,1
4731530,1,2,1,,1,3705.1431603,76,2018,10,201810,50,,2,6,2,2,2,2,2,,,,,,,,1
4731530,1,3,1,,1,3705.1431603,76,2018,10,201810,50,,1,5,,,,,,,,,,,,,1
4731531,1,1,1,05,1,1516.2897003,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731531,1,2,1,05,1,1516.2897003,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731532,1,1,1,05,1,864.52801411,05,2018,10,201810,50,,1,6,2,2,2,2,1,11,,,,,,2,1
4731532,1,2,1,05,1,864.52801411,05,2018,10,201810,50,,2,4,1,,,,,,,,,,,,1
4731532,1,3,1,05,1,864.52801411,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731533,1,1,1,05,1,1472.8441955,05,2018,10,201810,50,,1,4,2,2,2,2,2,,,,,,,,1
4731533,1,2,1,05,1,1472.8441955,05,2018,10,201810,50,,2,4,2,2,2,2,1,5,2,,2,,,1,1
4731533,1,3,1,05,1,1472.8441955,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731533,1,4,1,05,1,1472.8441955,05,2018,10,201810,50,,4,1,,,,,,,,,,,,,1
4731533,1,5,1,05,1,1472.8441955,05,2018,10,201810,50,,5,6,2,2,2,2,2,,,,,,,,1
4731534,1,1,1,05,1,1365.9999073,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731534,1,2,1,05,1,1365.9999073,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731535,1,1,1,05,1,1271.3053466,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731535,1,2,1,05,1,1271.3053466,05,2018,10,201810,50,,2,4,1,,,,,,,,,,,,1
4731535,1,3,1,05,1,1271.3053466,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731535,1,4,1,05,1,1271.3053466,05,2018,10,201810,50,,4,3,2,2,2,2,2,,,,,,,,1
4731535,1,5,1,05,1,1271.3053466,05,2018,10,201810,50,,5,3,2,2,2,2,2,,,,,,,,1
4731536,1,1,1,05,1,1048.139986,05,2018,10,201810,50,,1,4,2,2,2,2,1,9,,,,,,2,1
4731536,1,2,1,05,1,1048.139986,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731536,1,3,1,05,1,1048.139986,05,2018,10,201810,50,2,3,2,2,2,2,1,,,,,,,1,,1
4731536,1,4,1,05,1,1048.139986,05,2018,10,201810,50,2,4,2,2,2,2,1,,,,,,,1,,1
4731536,1,5,1,05,1,1048.139986,05,2018,10,201810,50,,5,3,2,2,2,2,2,,,,,,,,1
4731537,1,1,1,05,1,1159.7653072,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731537,1,2,1,05,1,1159.7653072,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731537,1,3,1,05,1,1159.7653072,05,2018,10,201810,50,,3,6,2,1,,,,,,,,,,,1
4731538,1,1,1,05,1,825.846232,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731538,1,2,1,05,1,825.846232,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731539,1,1,1,05,1,1285.0525405,05,2018,10,201810,50,,1,4,2,2,2,2,2,,,,,,,,1
4731539,1,2,1,05,1,1285.0525405,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731539,1,3,1,05,1,1285.0525405,05,2018,10,201810,50,,3,6,2,2,2,2,2,,,,,,,,1
4731540,1,1,1,05,1,1358.0803408,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731540,1,2,1,05,1,1358.0803408,05,2018,10,201810,50,,2,4,2,2,2,2,1,10,,,,,,2,1
4731542,1,1,1,05,1,1023.456796,05,2018,10,201810,50,,1,4,1,,,,,,,,,,,,1
4731542,1,2,1,05,1,1023.456796,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731543,1,1,1,05,1,1360.2402514,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731545,1,1,1,05,1,775.45765392,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731545,1,2,1,05,1,775.45765392,05,2018,10,201810,50,,2,6,1,,,,,,,,,,,,1
4731545,1,3,1,05,1,775.45765392,05,2018,10,201810,50,2,3,4,2,2,2,1,,,,,,,1,,1
4731546,1,1,1,05,1,1459.1402352,05,2018,10,201810,50,2,1,4,2,2,2,1,,,,,,,1,,1
4731547,1,1,1,05,1,959.89742763,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731547,1,2,1,05,1,959.89742763,05,2018,10,201810,50,,2,6,2,2,2,2,2,,,,,,,,1
4731547,1,3,1,05,1,959.89742763,05,2018,10,201810,50,,3,4,2,2,2,2,2,,,,,,,,1
4731547,1,4,1,05,1,959.89742763,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731547,1,5,1,05,1,959.89742763,05,2018,10,201810,50,,5,3,2,2,2,2,2,,,,,,,,1
4731548,1,1,1,05,1,1173.7465891,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731548,1,2,1,05,1,1173.7465891,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731549,1,1,1,05,1,856.7016937,05,2018,10,201810,50,,1,6,2,2,2,2,1,9,,,,,,2,1
4731549,1,2,1,05,1,856.7016937,05,2018,10,201810,50,,2,4,2,2,2,2,1,9,,,,,,2,1
4731549,1,3,1,05,1,856.7016937,05,2018,10,201810,50,,3,4,2,2,2,2,2,,,,,,,,1
4731550,1,1,1,05,1,984.77501394,05,2018,10,201810,50,,1,4,1,,,,,,,,,,,,1
4731551,1,1,1,05,1,1197.9716387,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731551,1,2,1,05,1,1197.9716387,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731551,1,3,1,05,1,1197.9716387,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731551,1,4,1,05,1,1197.9716387,05,2018,10,201810,50,,4,3,2,2,2,2,2,,,,,,,,1
4731552,1,1,1,05,1,1644.7637189,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731552,1,2,1,05,1,1644.7637189,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731552,1,3,1,05,1,1644.7637189,05,2018,10,201810,50,,3,6,2,2,2,2,1,8,2,,2,,,1,1
4731553,1,1,1,05,1,1249.3367101,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731554,1,1,1,05,1,1087.5487803,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731554,1,2,1,05,1,1087.5487803,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731554,1,3,1,05,1,1087.5487803,05,2018,10,201810,50,,3,3,2,2,2,2,2,,,,,,,,1
4731554,1,4,1,05,1,1087.5487803,05,2018,10,201810,50,,4,4,2,2,2,2,2,,,,,,,,1
4731554,1,5,1,05,1,1087.5487803,05,2018,10,201810,50,,5,1,,,,,,,,,,,,,1
4731555,1,1,1,05,1,1144.0112481,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731555,1,2,1,05,1,1144.0112481,05,2018,10,201810,50,,2,4,2,2,2,2,1,10,,,,,,2,1
4731555,1,4,1,05,1,1144.0112481,05,2018,10,201810,50,,4,1,,,,,,,,,,,,,1
4731556,1,1,1,05,1,1173.7465891,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731556,1,2,1,05,1,1173.7465891,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731557,1,1,1,05,1,1164.106369,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731557,1,2,1,05,1,1164.106369,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731558,1,1,1,05,1,1210.9516895,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731558,1,2,1,05,1,1210.9516895,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731559,1,1,1,05,1,1365.9999073,05,2018,10,201810,50,,2,6,2,2,2,2,2,,,,,,,,1
4731559,1,2,1,05,1,1365.9999073,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731560,1,1,1,05,1,1249.3367101,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731561,1,1,1,05,1,1365.9999073,05,2018,10,201810,50,,1,4,2,2,2,2,2,,,,,,,,1
4731561,1,2,1,05,1,1365.9999073,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731562,1,1,1,05,1,1365.9999073,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731562,1,2,1,05,1,1365.9999073,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731563,1,1,1,05,1,1360.2402514,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731564,1,1,1,05,1,873.23444886,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731564,1,2,1,05,1,873.23444886,05,2018,10,201810,50,2,2,4,2,2,2,1,,,,,,,1,,1
4731565,1,1,1,05,1,1130.7237451,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731565,1,2,1,05,1,1130.7237451,05,2018,10,201810,50,,2,3,2,2,2,2,2,,,,,,,,1
4731566,1,1,1,05,1,1104.4041628,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
