DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
4731516,1,1,1,,1,1,3098.57271,76,2018,10,201810,80,1,3,8,1,,1,9,2,,2,,1,40,781242,2
4731517,1,4,1,,1,1,3215.4304666,76,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731518,1,2,1,,1,1,1811.2198566,76,2018,10,201810,80,1,4,4,2,,,4,2,,2,,,,,2
4731523,1,1,1,,1,1,3847.3699537,76,2018,10,201810,80,1,1,7,2,,,9,2,,2,,1,42,300000,2
4731523,1,3,1,,1,1,3847.3699537,76,2018,10,201810,80,1,1,2,2,,,2,2,,2,,2,,500000,2
4731523,1,4,1,,1,1,3847.3699537,76,2018,10,201810,80,2,,,,1,1,2,2,,2,,2,,600000,2
4731523,1,5,1,,1,1,3847.3699537,76,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731526,1,2,1,,1,1,3331.7183424,76,2018,10,201810,80,2,,,,2,,,2,,2,,1,40,800000,2
4731527,1,2,1,,1,1,3619.1400071,76,2018,10,201810,80,1,1,7,2,,,3,2,,2,,1,40,700000,2
4731527,1,3,1,,1,1,3619.1400071,76,2018,10,201810,80,1,1,7,2,,,3,2,,2,,1,56,800000,2
4731529,1,1,1,,1,1,2757.096074,76,2018,10,201810,80,1,4,4,2,,,4,2,,2,,,,,2
4731530,1,1,1,,1,1,3705.1431603,76,2018,10,201810,80,1,3,4,2,,,4,2,,2,,,,,2
4731530,1,2,1,,1,1,3705.1431603,76,2018,10,201810,80,1,1,7,2,,,11,2,,2,,,,,2
4731530,1,3,1,,1,1,3705.1431603,76,2018,10,201810,80,2,,,,2,,,2,,2,,,,,2
4731531,1,2,1,05,1,1,1516.2897003,05,2018,10,201810,80,1,4,3,2,,,9,2,,2,,,,,2
4731532,1,1,1,05,1,1,864.52801411,05,2018,10,201810,80,1,4,5,2,,,4,3,,2,,1,48,781242,3
4731533,1,1,1,05,1,1,1472.8441955,05,2018,10,201810,80,1,4,5,2,,,11,3,,2,,,,,3
4731533,1,2,1,05,1,1,1472.8441955,05,2018,10,201810,80,1,4,6,1,,4,5,1,1,2,,1,48,98,1
4731533,1,5,1,05,1,1,1472.8441955,05,2018,10,201810,80,1,4,5,2,,,11,3,,2,,,,,3
4731534,1,1,1,05,1,1,1365.9999073,05,2018,10,201810,80,1,4,4,2,,,4,2,,2,,,,,2
