DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,FT
4561958,1,1,1,05,1,1311.1651417,05,2018,03,201803,50,,1,1,,,,,,,,,,,,1
4561958,1,2,1,05,1,1311.1651417,05,2018,03,201803,50,,2,4,1,,,,,,,,,,,1
4561959,1,1,1,05,1,1134.6970158,05,2018,03,201803,50,1,1,4,2,2,2,1,,,,,,,1,1
4561959,1,2,1,05,1,1134.6970158,05,2018,03,201803,50,,2,4,2,2,2,2,1,9,,,,,,1
4561960,1,1,1,05,1,1207.6113126,05,2018,03,201803,50,,1,1,,,,,,,,,,,,1
4561961,1,1,1,05,1,678.22929209,05,2018,03,201803,50,,1,1,,,,,,,,,,,,1
4561961,1,2,1,05,1,678.22929209,05,2018,03,201803,50,,2,1,,,,,,,,,,,,1
4561961,1,3,1,05,1,678.22929209,05,2018,03,201803,50,,3,1,,,,,,,,,,,,1
4561961,1,5,1,05,1,678.22929209,05,2018,03,201803,50,,5,4,2,2,1,,,,,,,,,1
4561962,1,1,1,05,1,1575.5011993,05,2018,03,201803,50,,1,4,1,,,,,,,,,,,1
4561962,1,2,1,05,1,1575.5011993,05,2018,03,201803,50,,2,3,2,2,2,2,1,12,,,,,,1
4561962,1,4,1,05,1,1575.5011993,05,2018,03,201803,50,1,4,3,2,2,2,1,,,,,,,1,1
4561963,1,1,1,05,1,1029.92515,05,2018,03,201803,50,,1,1,,,,,,,,,,,,1
4561963,1,2,1,05,1,1029.92515,05,2018,03,201803,50,,2,4,2,2,2,2,1,11,,,,,,1
4561964,1,1,1,05,1,1356.3635155,05,2018,03,201803,50,,1,4,2,2,2,2,2,,,,,,,1
4561964,1,2,1,05,1,1356.3635155,05,2018,03,201803,50,,2,1,,,,,,,,,,,,1
4561964,1,3,1,05,1,1356.3635155,05,2018,03,201803,50,,3,1,,,,,,,,,,,,1
4561964,1,4,1,05,1,1356.3635155,05,2018,03,201803,50,,4,3,2,2,2,2,2,,,,,,,1
4561965,1,1,1,05,1,1497.24959,05,2018,03,201803,50,,1,1,,,,,,,,,,,,1
4561965,1,2,1,05,1,1497.24959,05,2018,03,201803,50,,2,4,2,2,2,2,2,,,,,,,1
4561965,1,4,1,05,1,1497.24959,05,2018,03,201803,50,,4,1,,,,,,,,,,,,1
4561966,1,1,1,05,1,980.45233806,05,2018,03,201803,50,,1,4,1,,,,,,,,,,,1
4561966,2,1,2,05,1,980.45233806,05,2018,03,201803,50,,1,1,,,,,,,,,,,,1
4561967,1,1,1,05,1,1166.6224286,05,2018,03,201803,50,,1,1,,,,,,,,,,,,1
4561968,1,1,1,05,1,545.50466586,05,2018,03,201803,50,,1,4,2,2,2,2,1,8,2,,2,,,1
4561968,1,2,1,05,1,545.50466586,05,2018,03,201803,50,,2,1,,,,,,,,,,,,1
4561968,1,3,1,05,1,545.50466586,05,2018,03,201803,50,,3,1,,,,,,,,,,,,1
4561968,1,4,1,05,1,545.50466586,05,2018,03,201803,50,,4,1,,,,,,,,,,,,1
4561969,1,1,1,05,1,1047.0641015,05,2018,03,201803,50,,1,1,,,,,,,,,,,,1
4561969,1,2,1,05,1,1047.0641015,05,2018,03,201803,50,,2,1,,,,,,,,,,,,1
4561970,1,1,1,05,1,545.50466586,05,2018,03,201803,50,,1,6,2,2,2,2,2,,,,,,,1
4561970,1,2,1,05,1,545.50466586,05,2018,03,201803,50,,2,1,,,,,,,,,,,,1
