DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,DSI,FEX_C,RAMA4D_D_R4,RAMA2D_D_R4,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,RAMA2D_D,DSCY,RAMA4D_D
4658799,1,2,1,,1,1,1741.9544248,,,68,2018,07,201807,70,26,36,1,1,,,,,,,,,,,,,,,,900000,,,59,,,2,
4658800,1,3,1,,1,1,1159.4560039,8412,84,68,2018,07,201807,70,12,48,2,2,12,4,9,2,4,,,,,,,,1,2,,1500000,2,,12,12,75,1,7512
4658806,1,3,1,,1,1,3782.7267034,7310,73,68,2018,07,201807,70,8,48,1,2,26,1,3,2,2,,,,,,,,1,2,,600000,2,,16,16,74,1,7430
4658814,1,2,1,,1,1,3391.3573994,6512,65,68,2018,07,201807,70,1,48,1,2,24,1,9,2,1,,,,,,,,1,2,,1200000,2,,83,33,93,1,9303
4658820,1,3,1,,1,1,3087.5209283,4752,47,68,2018,07,201807,70,4,48,1,2,20,1,4,2,2,,,,,,,,1,2,,360261,2,,03,45,52,1,5241
4658823,1,1,1,,1,1,3513.7664842,7490,74,68,2018,07,201807,70,20,48,1,2,20,1,8,2,6,,,,,,,,1,2,,2000000,2,,39,39,74,2,7414
4658830,1,2,1,,1,1,1548.5700245,4771,47,76,2018,07,201807,70,12,20,1,2,12,4,1,2,1,,,,,,,,1,2,,781242,2,,13,45,52,1,5233
4658831,1,2,1,,1,1,2031.1837124,4111,41,76,2018,07,201807,70,8,48,1,2,8,1,4,2,4,,,,,,,,1,2,,781242,2,,95,95,45,1,4521
4658839,1,1,1,,1,1,2200.6096345,0722,07,76,2018,07,201807,70,4,48,1,2,4,4,1,2,1,,,,,,,,1,2,,780000,2,,95,71,13,1,1320
4658841,1,2,1,,1,1,1404.8567318,4711,47,76,2018,07,201807,70,4,48,1,2,4,6,2,2,1,,,,,,,,1,2,,1000000,2,,40,45,52,1,5211
4658849,1,1,1,,1,1,2448.6636775,8010,80,76,2018,07,201807,70,12,84,1,2,16,1,9,1,5,1,,,,,,,,2,,780000,1,2,98,58,74,1,7492
4658850,1,2,1,,1,1,2173.2183638,4631,46,76,2018,07,201807,70,8,48,1,2,16,1,6,2,6,,,,,,,,1,2,,781000,2,,33,33,51,1,5125
4658858,3,1,3,05,1,1,1484.2346635,4665,46,05,2018,07,201807,70,20,48,1,2,20,1,2,2,1,,,,,,,,1,2,,781000,2,,81,99,51,2,5155
4658861,1,1,1,05,1,1,778.48687722,4321,43,05,2018,07,201807,70,32,48,4,2,56,4,1,2,1,,1,,,,,,,2,,781242,1,4,85,85,45,2,4542
4658864,1,1,1,05,1,1,995.1254965,9200,92,05,2018,07,201807,70,6,48,4,2,6,4,1,2,1,,,,,,,,1,2,,800000,2,,98,45,92,1,9242
